lon,lat,pop
4.76391,45.60292,535
4.76646,45.60304,242.5
4.76902,45.60317,16
4.77157,45.60329,4
4.77413,45.60342,2
4.77669,45.60355,52
4.77924,45.60367,197.5
4.78180,45.60380,95.5
4.79202,45.60430,18
4.75863,45.60446,62
4.76118,45.60459,420.5
4.76374,45.60471,543
4.76629,45.60484,143
4.76885,45.60497,38
4.77140,45.60509,8
4.77651,45.60534,24
4.77907,45.60547,333
4.78162,45.60560,191
4.78418,45.60572,166.5
4.78673,45.60585,34
4.78929,45.60597,68
4.79184,45.60610,69
4.79440,45.60623,144
4.76101,45.60638,217
4.76357,45.60651,744
4.76612,45.60664,407.5
4.76868,45.60676,16.5
4.77123,45.60689,14
4.77379,45.60702,3
4.77634,45.60714,55
4.77890,45.60727,260.5
4.78145,45.60739,331.5
4.78401,45.60752,82
4.78656,45.60765,321.5
4.78912,45.60777,132.5
4.79167,45.60790,194.5
4.79423,45.60802,127
4.79678,45.60815,13
4.76595,45.60843,19
4.76850,45.60856,2
4.77106,45.60869,96
4.77361,45.60881,97
4.77617,45.60894,276.5
4.77873,45.60906,146
4.78128,45.60919,209
4.78384,45.60932,73
4.78639,45.60944,305
4.78895,45.60957,71
4.79150,45.60969,425
4.79406,45.60982,277.5
4.79661,45.60995,64
4.79917,45.61007,1
4.76833,45.61036,1
4.77600,45.61074,89
4.77855,45.61086,119.5
4.78111,45.61099,120.5
4.78366,45.61111,215.5
4.78622,45.61124,284.5
4.78878,45.61137,50.5
4.79133,45.61149,176
4.79389,45.61162,90.5
4.79644,45.61174,178.5
4.79900,45.61187,65
4.77583,45.61253,147
4.77838,45.61266,133
4.78094,45.61278,109
4.78349,45.61291,89
4.78605,45.61304,71.5
4.78860,45.61316,43
4.79116,45.61329,67.5
4.79372,45.61341,135
4.79627,45.61354,157.5
4.79883,45.61367,33
4.80138,45.61379,3
4.77821,45.61446,42.5
4.78077,45.61458,2
4.78332,45.61471,4
4.79610,45.61534,71
4.79866,45.61546,140
4.80121,45.61559,121
4.79849,45.61726,62
4.80104,45.61739,56
4.80087,45.61918,2
4.80070,45.62098,4
4.83563,45.63172,21
4.83819,45.63184,9
4.82780,45.63314,1
4.83035,45.63327,13
4.83547,45.63352,3
4.83802,45.63364,18
4.84313,45.63389,5
4.84569,45.63401,22
4.84825,45.63414,69
4.85080,45.63426,68
4.82251,45.63469,29
4.83530,45.63531,81.5
4.83785,45.63544,37
4.84041,45.63556,93
4.84297,45.63569,78
4.84552,45.63581,42
4.84808,45.63594,11.5
4.85064,45.63606,21
4.80189,45.63548,7
4.80445,45.63561,34
4.80700,45.63573,17
4.83001,45.63686,57.5
4.83257,45.63699,138
4.83513,45.63711,136
4.83768,45.63723,87
4.84024,45.63736,80
4.84280,45.63748,91.5
4.84535,45.63761,56
4.79149,45.63678,3
4.79405,45.63690,17
4.79660,45.63703,49.5
4.79916,45.63715,85
4.80172,45.63728,25
4.80427,45.63740,81.5
4.80683,45.63753,19
4.82984,45.63866,20.5
4.83240,45.63878,14
4.83496,45.63891,129
4.83751,45.63903,144
4.84007,45.63916,131
4.84263,45.63928,139.5
4.84518,45.63941,111
4.84774,45.63953,20
4.85030,45.63966,16
4.85285,45.63978,3
4.85541,45.63990,97.5
4.78365,45.63820,33
4.78621,45.63832,52
4.78876,45.63845,49.5
4.79132,45.63857,4
4.79388,45.63870,28
4.79643,45.63882,59
4.79899,45.63895,66
4.80155,45.63908,93
4.80410,45.63920,125.5
4.80666,45.63933,34
4.80922,45.63945,18
4.82967,45.64045,2
4.83223,45.64058,10
4.83479,45.64070,29
4.83734,45.64083,56
4.83990,45.64095,83
4.84246,45.64108,19
4.84501,45.64120,17
4.84757,45.64133,14
4.85013,45.64145,5
4.89360,45.64356,2
4.78092,45.63987,25
4.78348,45.63999,37
4.78603,45.64012,4
4.78859,45.64024,3
4.79115,45.64037,5
4.79371,45.64050,18
4.79626,45.64062,71
4.79882,45.64075,98.5
4.80138,45.64087,62
4.80393,45.64100,32
4.80649,45.64112,27
4.80905,45.64125,28
4.83462,45.64250,50
4.83717,45.64263,137
4.83973,45.64275,83
4.84229,45.64288,2
4.84484,45.64300,2
4.84740,45.64312,4
4.84996,45.64325,7
4.85252,45.64337,2
4.85507,45.64350,15
4.89343,45.64536,11
4.77819,45.64154,4
4.78075,45.64166,12
4.78331,45.64179,30
4.78842,45.64204,37
4.79098,45.64217,56
4.79353,45.64229,82.5
4.79609,45.64242,80
4.79865,45.64254,52
4.80120,45.64267,50
4.80376,45.64280,65
4.80632,45.64292,79.5
4.80888,45.64305,81
4.81143,45.64317,4
4.83445,45.64430,8
4.83700,45.64442,61.5
4.83956,45.64455,51.5
4.84212,45.64467,13
4.84467,45.64480,5
4.85235,45.64517,6
4.85490,45.64530,19.5
4.78569,45.64371,2
4.78825,45.64384,15
4.79081,45.64396,77
4.79336,45.64409,136.5
4.79592,45.64422,66.5
4.79848,45.64434,110.5
4.80103,45.64447,198
4.80359,45.64459,85.5
4.80615,45.64472,78.5
4.80871,45.64484,6.5
4.81126,45.64497,111
4.81382,45.64509,18
4.83939,45.64635,2
4.84195,45.64647,73.5
4.84450,45.64659,57.5
4.84706,45.64672,6
4.94936,45.65165,4
4.95192,45.65177,31
4.95447,45.65190,72.5
4.95703,45.65202,6
4.78552,45.64551,13
4.78808,45.64564,35
4.79063,45.64576,69
4.79319,45.64589,106
4.79575,45.64601,58
4.79831,45.64614,42
4.80086,45.64626,50
4.80342,45.64639,100.5
4.80598,45.64652,130
4.80853,45.64664,44.5
4.81109,45.64677,152
4.81365,45.64689,261.5
4.84178,45.64827,54
4.84434,45.64839,66
4.84689,45.64852,54
4.84945,45.64864,21
4.90316,45.65124,3
4.94919,45.65345,175.5
4.95175,45.65357,91.5
4.95431,45.65369,111.5
4.95687,45.65381,19
4.77768,45.64693,2
4.78023,45.64705,7
4.78279,45.64718,3
4.78535,45.64731,42
4.78791,45.64743,52
4.79046,45.64756,101.5
4.79302,45.64768,50
4.79558,45.64781,68.5
4.79813,45.64794,40
4.80069,45.64806,71.5
4.80325,45.64819,87
4.80581,45.64831,60.5
4.80836,45.64844,45
4.81092,45.64856,63
4.81348,45.64869,253.5
4.81604,45.64881,32
4.84672,45.65031,11
4.89532,45.65267,2
4.89787,45.65279,1
4.94647,45.65512,184
4.94903,45.65525,122
4.95158,45.65537,136
4.95414,45.65549,128.5
4.95670,45.65561,10
4.77495,45.64860,15
4.77751,45.64872,4
4.78006,45.64885,36.5
4.78262,45.64898,102.5
4.78518,45.64910,52
4.78773,45.64923,84
4.79029,45.64935,47
4.79285,45.64948,108.5
4.79541,45.64961,120
4.79796,45.64973,67
4.80052,45.64986,84
4.80308,45.64998,109
4.80564,45.65011,39
4.80819,45.65023,38
4.81075,45.65036,52
4.81331,45.65049,271.5
4.81586,45.65061,226.5
4.81842,45.65074,4
4.84655,45.65211,17
4.84911,45.65223,1
4.92840,45.65606,4
4.94375,45.65680,52
4.94630,45.65692,51
4.94886,45.65704,71.5
4.95142,45.65717,164
4.95398,45.65729,112
4.95653,45.65741,44
4.95909,45.65753,43
4.76966,45.65014,12
4.77222,45.65027,19
4.77478,45.65040,40
4.77733,45.65052,6
4.77989,45.65065,2
4.78245,45.65077,9
4.78501,45.65090,25
4.78756,45.65103,26
4.79012,45.65115,86
4.79268,45.65128,73
4.79524,45.65140,69
4.79779,45.65153,80
4.80035,45.65166,9
4.80291,45.65178,9
4.81058,45.65216,14
4.81314,45.65228,374.5
4.81569,45.65241,709
4.81825,45.65253,16
4.84894,45.65403,8
4.89754,45.65639,40
4.90010,45.65651,45.5
4.90265,45.65663,70
4.90521,45.65676,24
4.94102,45.65847,20
4.94358,45.65860,134.5
4.94614,45.65872,45
4.94869,45.65884,81.5
4.95125,45.65896,80
4.95381,45.65908,86.5
4.95637,45.65921,7
4.95893,45.65933,93
4.96148,45.65945,10
4.96916,45.65982,8
4.77972,45.65244,3
4.78228,45.65257,4
4.78739,45.65282,5
4.78995,45.65295,50
4.79251,45.65307,95
4.79506,45.65320,99.5
4.79762,45.65333,60
4.80018,45.65345,6
4.80274,45.65358,17
4.80529,45.65370,9
4.81041,45.65395,8
4.81297,45.65408,62
4.81552,45.65421,40
4.81808,45.65433,6
4.84877,45.65583,8
4.85133,45.65595,2
4.89737,45.65818,60.5
4.89993,45.65831,60
4.90249,45.65843,176
4.90504,45.65855,173.5
4.90760,45.65868,80
4.91527,45.65905,4
4.93830,45.66015,3
4.94085,45.66027,66.5
4.94341,45.66039,129.5
4.94597,45.66052,117
4.94853,45.66064,106.5
4.95109,45.66076,177.5
4.95364,45.66088,66
4.95620,45.66100,19
4.95876,45.66113,176.5
4.96132,45.66125,49
4.96388,45.66137,1
4.96899,45.66161,2
4.77955,45.65424,8
4.78211,45.65437,6
4.78466,45.65449,23
4.78722,45.65462,114.5
4.78978,45.65475,46.5
4.79234,45.65487,69
4.79489,45.65500,87
4.79745,45.65512,115
4.80001,45.65525,45
4.80257,45.65537,22
4.80768,45.65563,3
4.81280,45.65588,11
4.81535,45.65600,10
4.81791,45.65613,10
4.84860,45.65763,9
4.85116,45.65775,6
4.85628,45.65800,2
4.89720,45.65998,58
4.89976,45.66010,115
4.90232,45.66023,230.5
4.90488,45.66035,88
4.90743,45.66047,86
4.93813,45.66195,73
4.94069,45.66207,157.5
4.94325,45.66219,138
4.94580,45.66231,76
4.94836,45.66244,100
4.95092,45.66256,126
4.95348,45.66268,265.5
4.95604,45.66280,439
4.95859,45.66292,377.5
4.96115,45.66304,33
4.78449,45.65629,13.5
4.79216,45.65667,27
4.79472,45.65679,85
4.79728,45.65692,86
4.79984,45.65705,43.5
4.80239,45.65717,2
4.81774,45.65792,19
4.82030,45.65805,9
4.84588,45.65930,2
4.85099,45.65955,5
4.85611,45.65980,17
4.89448,45.66165,31.5
4.89703,45.66178,121.5
4.89959,45.66190,78
4.90215,45.66202,92.5
4.90471,45.66215,103.5
4.90727,45.66227,98
4.90982,45.66239,19
4.91238,45.66252,4
4.93796,45.66374,115
4.94052,45.66387,203.5
4.94308,45.66399,119
4.94564,45.66411,101.5
4.94820,45.66423,125
4.95075,45.66435,149.5
4.95331,45.66448,467
4.95587,45.66460,143
4.95843,45.66472,154.5
4.96099,45.66484,83.5
4.96355,45.66496,51
4.96610,45.66509,5
4.78944,45.65834,5
4.79199,45.65847,52
4.79455,45.65859,107
4.79711,45.65872,135
4.79967,45.65884,46
4.80222,45.65897,4
4.81757,45.65972,346
4.82013,45.65985,9
4.84571,45.66110,3
4.84826,45.66122,12
4.85338,45.66147,120
4.85594,45.66159,166.5
4.89175,45.66333,219.5
4.89431,45.66345,321.5
4.89687,45.66358,643.5
4.89942,45.66370,97.5
4.90198,45.66382,366
4.90454,45.66394,106.5
4.90710,45.66407,114
4.90966,45.66419,312
4.91221,45.66431,86.5
4.93524,45.66542,2
4.93780,45.66554,82
4.94036,45.66566,118.5
4.94291,45.66579,223
4.94547,45.66591,90
4.94803,45.66603,424
4.95059,45.66615,162.5
4.95315,45.66627,223.5
4.95570,45.66640,278.5
4.95826,45.66652,138.5
4.96082,45.66664,68
4.96338,45.66676,114
4.96594,45.66688,60
4.79182,45.66026,26
4.79438,45.66039,53.5
4.79694,45.66051,20
4.80205,45.66077,15
4.81740,45.66152,26
4.81996,45.66164,49
4.82252,45.66177,2
4.82507,45.66189,16
4.82763,45.66202,2
4.84554,45.66289,33
4.84809,45.66302,94.5
4.85065,45.66314,49
4.85321,45.66327,279.5
4.85577,45.66339,356.5
4.85833,45.66351,175.5
4.86088,45.66364,423.5
4.88902,45.66500,191
4.89158,45.66513,227
4.89414,45.66525,893
4.89926,45.66550,86.5
4.90181,45.66562,87
4.90437,45.66574,124
4.90693,45.66587,133
4.90949,45.66599,97
4.91461,45.66623,4
4.93507,45.66722,17
4.93763,45.66734,13
4.94275,45.66758,92.5
4.94531,45.66770,180
4.94786,45.66783,109.5
4.95042,45.66795,207
4.95298,45.66807,234.5
4.95554,45.66819,117.5
4.95810,45.66831,184.5
4.96066,45.66844,111
4.96321,45.66856,86
4.96577,45.66868,91
4.96833,45.66880,90.5
4.97089,45.66892,4
4.79165,45.66206,7
4.79421,45.66219,63
4.80188,45.66256,6
4.81211,45.66306,8
4.81723,45.66332,5
4.81979,45.66344,30
4.82234,45.66357,13
4.82490,45.66369,14
4.82746,45.66382,27.5
4.84537,45.66469,9
4.84792,45.66481,145.5
4.85048,45.66494,138
4.85304,45.66506,337.5
4.85560,45.66519,78
4.85816,45.66531,153
4.86072,45.66544,92
4.86327,45.66556,306
4.86583,45.66568,85
4.88886,45.66680,26
4.89141,45.66692,105
4.89397,45.66705,150
4.89653,45.66717,163
4.89909,45.66729,171
4.90165,45.66742,166
4.90420,45.66754,138
4.90676,45.66766,124
4.90932,45.66779,110.5
4.93746,45.66914,2
4.94514,45.66950,49.5
4.94770,45.66962,93
4.95026,45.66975,62.5
4.95281,45.66987,85.5
4.95537,45.66999,105
4.95793,45.67011,97
4.96049,45.67023,28.5
4.96305,45.67036,40
4.96561,45.67048,31
4.96817,45.67060,24
4.79404,45.66398,15
4.80683,45.66461,2
4.81706,45.66511,1
4.81962,45.66524,264.5
4.82217,45.66536,10
4.82473,45.66549,3
4.82729,45.66561,83
4.82985,45.66574,17.5
4.83241,45.66586,9
4.84520,45.66649,9
4.84776,45.66661,211
4.85031,45.66674,184
4.85287,45.66686,114
4.85543,45.66698,59
4.85799,45.66711,78
4.86055,45.66723,117.5
4.86310,45.66736,134
4.86566,45.66748,79
4.86822,45.66761,53
4.87078,45.66773,11
4.89125,45.66872,48
4.89380,45.66884,123
4.89636,45.66897,66
4.89892,45.66909,116.5
4.90148,45.66921,181
4.90404,45.66934,267
4.90660,45.66946,93.5
4.90915,45.66958,62.5
4.94497,45.67130,27
4.94753,45.67142,124
4.95009,45.67154,101
4.95265,45.67167,82
4.95521,45.67179,110.5
4.95777,45.67191,80
4.96032,45.67203,41
4.97056,45.67252,1
4.78619,45.66540,1
4.79131,45.66565,3
4.79387,45.66578,8.5
4.79642,45.66591,1
4.80921,45.66653,6
4.81177,45.66666,56
4.81433,45.66678,119
4.81689,45.66691,327.5
4.81945,45.66703,66.5
4.82200,45.66716,12
4.82456,45.66729,3
4.82712,45.66741,42
4.82968,45.66754,13
4.84759,45.66841,14
4.85014,45.66853,329.5
4.85270,45.66866,81.5
4.85526,45.66878,12
4.85782,45.66891,85
4.86038,45.66903,66.5
4.86294,45.66915,67
4.86549,45.66928,3
4.86805,45.66940,6
4.87061,45.66953,7
4.89364,45.67064,1
4.89619,45.67076,78.5
4.89875,45.67089,152
4.90131,45.67101,101.5
4.90387,45.67113,107.5
4.90643,45.67126,137.5
4.90899,45.67138,116
4.94736,45.67322,14
4.94992,45.67334,47
4.95760,45.67371,75.5
4.96016,45.67383,98
4.97039,45.67432,16
4.78602,45.66720,3
4.78858,45.66732,13.5
4.79369,45.66758,10
4.81160,45.66846,65
4.81416,45.66858,113
4.81672,45.66871,74.5
4.81928,45.66883,165
4.82183,45.66896,34
4.82439,45.66908,286.5
4.82695,45.66921,48.5
4.84742,45.67021,2
4.84997,45.67033,330.5
4.85253,45.67045,1
4.85509,45.67058,14.5
4.85765,45.67070,136
4.86021,45.67083,114
4.86277,45.67095,9
4.89603,45.67256,2
4.89858,45.67268,69
4.90114,45.67281,241.5
4.90370,45.67293,110
4.90626,45.67305,48
4.90882,45.67318,7
4.91138,45.67330,4
4.91649,45.67355,1
4.94976,45.67514,30
4.95232,45.67526,3
4.95487,45.67538,11
4.95743,45.67550,36
4.95999,45.67563,18
4.78841,45.66912,19
4.79096,45.66925,16.5
4.79864,45.66962,2
4.81143,45.67025,2
4.81399,45.67038,57
4.81655,45.67050,77
4.81910,45.67063,45
4.82166,45.67075,169.5
4.82422,45.67088,206
4.82678,45.67100,72.5
4.82934,45.67113,29
4.84981,45.67213,5
4.85236,45.67225,37
4.85748,45.67250,57
4.86004,45.67262,108
4.86260,45.67275,2
4.89586,45.67436,5
4.89842,45.67448,108.5
4.90098,45.67460,134.5
4.90353,45.67473,55
4.91377,45.67522,16
4.91633,45.67534,4
4.93936,45.67645,2
4.94191,45.67657,11
4.94447,45.67669,20.5
4.94703,45.67681,53
4.94959,45.67694,92.5
4.95215,45.67706,31.5
4.95471,45.67718,9
4.95727,45.67730,10
4.95983,45.67742,4
4.96239,45.67754,1
4.78823,45.67092,10
4.79079,45.67104,5
4.79335,45.67117,18
4.80870,45.67192,13
4.81126,45.67205,15
4.81382,45.67218,64.5
4.81638,45.67230,80
4.81893,45.67243,239
4.82149,45.67255,366
4.82405,45.67268,213
4.82661,45.67280,90
4.82917,45.67293,46.5
4.83173,45.67305,1
4.85475,45.67417,1
4.85731,45.67430,130
4.85987,45.67442,696
4.86243,45.67455,120
4.86499,45.67467,64.5
4.86755,45.67479,82
4.87010,45.67492,116
4.87266,45.67504,10
4.89313,45.67603,20
4.89569,45.67616,71
4.89825,45.67628,45
4.91360,45.67702,8
4.91616,45.67714,3
4.91872,45.67726,9
4.93663,45.67812,11
4.93919,45.67824,175
4.94175,45.67837,238
4.94431,45.67849,114.5
4.94687,45.67861,116
4.94942,45.67873,145
4.95198,45.67885,143
4.95454,45.67898,69
4.95710,45.67910,22.5
4.78806,45.67272,27
4.79062,45.67284,29
4.79318,45.67297,6
4.81109,45.67385,13
4.81365,45.67397,99
4.81621,45.67410,73.5
4.81876,45.67422,110
4.82132,45.67435,165.5
4.82388,45.67447,120
4.82644,45.67460,2
4.82900,45.67472,29
4.83156,45.67485,15
4.85714,45.67609,136
4.85970,45.67622,185.5
4.86226,45.67634,316.5
4.86482,45.67647,155.5
4.86738,45.67659,141.5
4.86994,45.67672,150
4.87249,45.67684,33
4.89296,45.67783,2
4.89552,45.67795,196.5
4.89808,45.67808,22
4.90064,45.67820,9
4.91855,45.67906,1
4.93646,45.67992,22
4.93902,45.68004,46
4.94158,45.68016,295.5
4.94414,45.68029,132
4.94670,45.68041,80.5
4.94926,45.68053,109
4.95182,45.68065,39
4.95438,45.68077,5
4.95694,45.68090,7
4.78533,45.67439,37
4.78789,45.67451,131
4.79045,45.67464,66
4.80068,45.67514,6
4.81348,45.67577,54.5
4.81603,45.67589,93
4.81859,45.67602,115
4.82115,45.67615,189
4.82371,45.67627,92.5
4.82627,45.67640,16
4.82883,45.67652,7
4.85697,45.67789,35
4.85953,45.67802,104
4.86209,45.67814,84.5
4.86465,45.67826,98
4.86721,45.67839,110
4.86977,45.67851,159
