# Fréquentation réelle des lignes, pour caler le moteur (scripts/modele/moteur.py).
# voyages_jour : fréquentation d'un jour de semaine ; une valeur annuelle est divisée par 265, comme pour le calage lyonnais d'origine.
# retenue : 1 si la ligne sert au calage, 0 sinon (la remarque dit pourquoi).
# bus : pour les bus, « site propre » (busway, Mettis, BHNS) ou « ligne forte » (Linéo, Chronostar, Lianes, Chronobus, sans site propre continu).
ville,ligne,mode,voyages_jour,valeur,unite,annee,source,retenue,remarque,bus
paris,13,metro,443887,117630000,entrants par an,2025,"https://omnil.cdn.prismic.io/omnil/ajFb3Y1P9HI4Uk5i_TCC_trafic_annuel_2025.xlsx (Omnil, trafic annuel 2025)",1,entrants sans les correspondances entre lignes de métro,
paris,14,metro,574377,152210000,entrants par an,2025,"https://omnil.cdn.prismic.io/omnil/ajFb3Y1P9HI4Uk5i_TCC_trafic_annuel_2025.xlsx (Omnil, trafic annuel 2025)",1,entrants sans les correspondances entre lignes de métro,
paris,T1,tram,177396,47010000,voyages par an,2024,"https://omnil.cdn.prismic.io/omnil/ajFb3Y1P9HI4Uk5i_TCC_trafic_annuel_2025.xlsx (Omnil, trafic annuel 2025)",1,année 2024 : la ligne est coupée à l'ouest de Saint-Denis depuis mai 2025,
paris,T2,tram,242226,64190000,voyages par an,2025,"https://omnil.cdn.prismic.io/omnil/ajFb3Y1P9HI4Uk5i_TCC_trafic_annuel_2025.xlsx (Omnil, trafic annuel 2025)",1,,
paris,T3a,tram,250189,66300000,voyages par an,2025,"https://omnil.cdn.prismic.io/omnil/ajFb3Y1P9HI4Uk5i_TCC_trafic_annuel_2025.xlsx (Omnil, trafic annuel 2025)",1,,
paris,T3b,tram,305434,80940000,voyages par an,2025,"https://omnil.cdn.prismic.io/omnil/ajFb3Y1P9HI4Uk5i_TCC_trafic_annuel_2025.xlsx (Omnil, trafic annuel 2025)",1,,
paris,T4,tram,73962,19600000,voyages par an,2025,"https://omnil.cdn.prismic.io/omnil/ajFb3Y1P9HI4Uk5i_TCC_trafic_annuel_2025.xlsx (Omnil, trafic annuel 2025)",1,,
paris,T5,tram,78151,20710000,voyages par an,2025,"https://omnil.cdn.prismic.io/omnil/ajFb3Y1P9HI4Uk5i_TCC_trafic_annuel_2025.xlsx (Omnil, trafic annuel 2025)",1,,
paris,T6,tram,80943,21450000,voyages par an,2025,"https://omnil.cdn.prismic.io/omnil/ajFb3Y1P9HI4Uk5i_TCC_trafic_annuel_2025.xlsx (Omnil, trafic annuel 2025)",1,,
paris,T7,tram,37774,10010000,voyages par an,2025,"https://omnil.cdn.prismic.io/omnil/ajFb3Y1P9HI4Uk5i_TCC_trafic_annuel_2025.xlsx (Omnil, trafic annuel 2025)",1,,
paris,T8,tram,60981,16160000,voyages par an,2025,"https://omnil.cdn.prismic.io/omnil/ajFb3Y1P9HI4Uk5i_TCC_trafic_annuel_2025.xlsx (Omnil, trafic annuel 2025)",1,,
paris,T9,tram,82038,21740000,voyages par an,2025,"https://omnil.cdn.prismic.io/omnil/ajFb3Y1P9HI4Uk5i_TCC_trafic_annuel_2025.xlsx (Omnil, trafic annuel 2025)",1,,
paris,T10,tram,29962,7940000,voyages par an,2025,"https://omnil.cdn.prismic.io/omnil/ajFb3Y1P9HI4Uk5i_TCC_trafic_annuel_2025.xlsx (Omnil, trafic annuel 2025)",1,,
paris,T11,tram,43434,11510000,voyages par an,2025,"https://omnil.cdn.prismic.io/omnil/ajFb3Y1P9HI4Uk5i_TCC_trafic_annuel_2025.xlsx (Omnil, trafic annuel 2025)",1,,
nice,L1,tram,120000,120000,validations par jour,2025,https://www.nicecotedazur.org/projets/rallongement-des-rames-de-la-ligne-1-du-tramway/,1,,
nice,L2,tram,105000,105000,voyageurs par jour,2024,https://www.nicecotedazur.org/services/transports-et-mobilites/transports-publics/les-lignes-de-tramway/,0,"configuration d'avant 2025 (avec la branche du CADAM) ; chiffre de la configuration d'avant 2025, avant que la ligne 3 partage son tronc",
nice,L3,tram,6000,6000,voyageurs par jour,2024,https://www.nicecotedazur.org/services/transports-et-mobilites/transports-publics/les-lignes-de-tramway/,0,tracé changé en janvier 2025 (prolongée jusqu'au port),
marseille,M1,metro,162600,162600,voyages par jour de semaine d'hiver,2024,"https://www.rtm.fr/sites/default/files/docs/013bis%20RTM%20en%20chiffres_2024%201.pdf (RTM, chiffres clés 2024, p. 12-13)",1,enquête origine-destination,
marseille,M2,metro,170500,170500,voyages par jour de semaine d'hiver,2024,"https://www.rtm.fr/sites/default/files/docs/013bis%20RTM%20en%20chiffres_2024%201.pdf (RTM, chiffres clés 2024, p. 12-13)",1,enquête origine-destination,
marseille,T1,tram,32200,32200,voyages par jour de semaine d'hiver,2024,"https://www.rtm.fr/sites/default/files/docs/013bis%20RTM%20en%20chiffres_2024%201.pdf (RTM, chiffres clés 2024, p. 12-13)",1,enquête origine-destination,
marseille,T2,tram,67000,67000,voyages par jour de semaine d'hiver,2024,"https://www.rtm.fr/sites/default/files/docs/013bis%20RTM%20en%20chiffres_2024%201.pdf (RTM, chiffres clés 2024, p. 12-13)",1,enquête origine-destination,
marseille,T3,tram,39700,39700,voyages par jour de semaine d'hiver,2024,"https://www.rtm.fr/sites/default/files/docs/013bis%20RTM%20en%20chiffres_2024%201.pdf (RTM, chiffres clés 2024, p. 12-13)",0,prolongée au nord et au sud en janvier 2026,
marseille,B1,bhns,22700,22700,voyages par jour de semaine d'hiver,2024,"https://www.rtm.fr/sites/default/files/docs/013bis%20RTM%20en%20chiffres_2024%201.pdf (RTM, chiffres clés 2024, p. 12-13)",1,enquête bus 2019 à 2024,site propre
marseille,B2,bhns,17900,17900,voyages par jour de semaine d'hiver,2024,"https://www.rtm.fr/sites/default/files/docs/013bis%20RTM%20en%20chiffres_2024%201.pdf (RTM, chiffres clés 2024, p. 12-13)",1,enquête bus 2019 à 2024,site propre
marseille,B3,bhns,14000,14000,voyages par jour de semaine d'hiver,2024,"https://www.rtm.fr/sites/default/files/docs/013bis%20RTM%20en%20chiffres_2024%201.pdf (RTM, chiffres clés 2024, p. 12-13)",1,somme des branches B3A (9 900) et B3B (4 100),site propre
bordeaux,B,tram,134884,35744210,voyages comptables par an,2022,https://www.bordeaux-metropole.fr/sites/MET-BXMETRO-DRUPAL/files/2024-11/RAD%20Transports%202022%20v%20Cada%20Web.pdf (p. 446),1,titres vendus multipliés par un coefficient de mobilité,
bordeaux,D,tram,47597,12613205,voyages comptables par an,2022,https://www.bordeaux-metropole.fr/sites/MET-BXMETRO-DRUPAL/files/2024-11/RAD%20Transports%202022%20v%20Cada%20Web.pdf (p. 446),1,titres vendus multipliés par un coefficient de mobilité,
