ville,ligne,mode,nom,reseau,stations,longueur_km,dist_centre_km,part_centre,ville_hab_10k,ville_emp_10k,ville_hab_20k,ville_emp_20k,emplois_centre_1k,lignes_reseau,stations_reseau,hab_300,emp_300,hab_propre_300,emp_propre_300,hab_400,emp_400,hab_propre_400,emp_propre_400,hab_500,emp_500,hab_propre_500,emp_propre_500,hab_600,emp_600,hab_propre_600,emp_propre_600,hab_800,emp_800,hab_propre_800,emp_propre_800,hab_1000,emp_1000,hab_propre_1000,emp_propre_1000,hab_2k,emp_2k,hab_5k,emp_5k,correspondances,stations_correspondance,gares,part_partagee_400
bordeaux,A,tram,Tram A : La Gardette - Bassens - Carbon Blanc → Le Haillan Rostand,TBM,40,19.04,0.17,0.225,749718,426279,1026351,514915,56108,6,194,59611,55488,37852,31217,84754,70587,52100,37228,105800,81597,64140,41829,128270,97057,75229,48634,162952,113507,90932,51690,192949,131572,100771,57337,361277,221969,676710,386535,33,26,3,0.712
bordeaux,D,tram,Tram D : Eysines Cantinolle → Bordeaux Carle Vernet,TBM,24,12.95,0.81,0.25,749718,426279,1026351,514915,56108,6,194,38505,33607,27520,19453,55038,46099,38785,25071,70761,53766,47969,27023,84581,63043,54425,29375,117255,83161,68059,34211,149138,105639,77770,39279,290775,169955,598713,318898,21,9,2,0.457
bordeaux,F,tram,Tram F : Mérignac — Aéroport → Bègles — Gare de Bègles,TBM,34,16.46,0.17,0.294,749718,426279,1026351,514915,56108,6,194,43230,60221,18401,31473,61093,78362,25364,39139,74795,94413,31142,48852,91192,114001,37234,58095,124125,132108,49417,62426,156320,145819,59415,65915,308053,214185,646307,362297,43,29,3,0.946
bordeaux,E,tram,Tram E : Blanquefort — Gare de Blanquefort → Floirac — Floirac Dravemont,TBM,29,18.09,0.81,0.138,749718,426279,1026351,514915,56108,6,194,45562,30153,27873,14520,69745,47141,41472,22379,90368,63092,50902,29178,109823,72560,60393,33165,142615,93330,73262,40250,170856,117177,81093,47146,302048,207325,586965,305242,24,18,4,0.732
bordeaux,G,bhns,Bus express G : Méca => Issac,TBM,46,21.58,0.18,0.174,749718,426279,1026351,514915,56108,6,194,54722,47210,48133,32741,76843,52260,61193,30122,101609,65210,74434,33954,119150,70915,81933,32836,156615,101363,96619,39634,184591,120789,103728,44800,342939,196482,621655,360008,8,4,1,0.372
brest,A,tram,Tram A : Porte de Plouzané → Porte de Guipavas,Bibus,28,13.45,0.07,0.393,212382,106851,322905,141775,24385,2,39,35634,26225,33807,24279,50964,37057,46099,29080,57612,39790,51396,30996,68452,47582,58387,36312,84146,56294,69366,41238,95217,62033,75385,44404,138372,83558,194254,101749,2,2,0,0.231
brest,C,cable,Téléphérique C : Ateliers → Jean Moulin,Bibus,2,0.42,0.71,1.0,212382,106851,322905,141775,24385,2,39,2020,1646,1278,940,4961,3465,2476,1748,5964,3717,2814,1737,10193,6054,4516,2298,15095,15107,6300,5517,19681,18882,8214,6693,57833,34550,147297,75539,1,1,0,0.97
brest,B,tram,Tram B : Gares → CHU La Cavale,Bibus,11,4.73,0.1,0.455,212382,106851,322905,141775,24385,2,39,14082,11001,12997,9760,20739,18726,18118,12073,26700,21910,22392,14079,32787,26233,25443,15802,41317,29255,30228,15641,49285,32658,34296,16225,99871,48153,161742,88080,1,1,1,0.344
caen,T3,tram,T3 : Fleury Hauts de l'Orne → Caen Château-Quatrans,Twisto,15,5.21,0.56,0.333,257814,144679,389784,169826,17750,3,57,17510,17537,10024,7152,24437,20182,13930,8175,32068,27779,17472,10788,38936,34316,20416,14020,49621,37263,24686,15186,59774,38666,28470,15527,104550,64562,195602,125638,15,10,1,0.775
caen,T2,tram,T2 : Caen Presqu'île → Caen Campus 2,Twisto,17,5.67,0.56,0.471,257814,144679,389784,169826,17750,3,57,10753,27187,4374,13756,14574,29777,5879,14994,21726,35514,9272,17316,25959,42419,10638,19880,34993,48665,14956,24545,45032,54134,19378,26644,106298,79163,204916,126041,17,11,0,0.922
caen,T1,tram,T1 : Ifs Jean Vilar → Hérouville Saint-Clair,Twisto,25,9.21,0.56,0.32,257814,144679,389784,169826,17750,3,57,33867,30491,24229,15498,44427,34538,31340,17965,55165,42861,37145,22451,64201,48869,41882,24228,76897,52489,47403,25684,87986,58029,51883,27717,138827,91733,216224,131604,20,15,1,0.575
clermont-ferrand,A,tram,Tram A : Les Vergnes → La Pardieu Gare,SMTC-AC,34,14.1,0.41,0.294,283223,159743,428830,196728,34507,1,34,47527,47282,47527,47282,65205,58483,65205,58483,78962,67852,78962,67852,90099,77540,90099,77540,115566,84954,115566,84954,134972,91738,134972,91738,190855,126106,254700,150502,0,0,1,0.0
dijon,T2,tram,Tram Ligne 2 : CHENÔVE Centre → DIJON Valmy,Divia,21,10.49,0.42,0.333,268473,142340,330093,156604,31047,2,38,33222,34408,29993,25686,53360,40407,46626,30554,64890,48393,55852,35701,79003,53677,65434,39005,98625,62827,79114,44229,112971,70601,87552,49184,174756,102955,234688,131988,4,4,1,0.296
dijon,T1,tram,Tram T1 : DIJON Gare → QUETIGNY Centre La Parenthèse,Divia,17,8.04,0.42,0.353,268473,142340,330093,156604,31047,2,38,16742,32409,13513,23687,28976,38843,22242,28989,37313,47347,28274,34655,49569,52170,36000,37498,66946,57725,47435,39127,82127,63700,56709,42284,154794,84132,247460,135820,5,5,2,0.477
grenoble,A,tram,A : Pont-de-Claix => Fontaine,M réso,31,12.61,0.16,0.323,416312,216239,545380,265810,35515,5,105,60839,41205,47620,27079,90412,55148,69426,35809,115354,67149,86664,41674,131965,73144,96387,43554,165294,88383,111624,50023,192711,102701,119193,57538,276130,152786,374700,198948,12,6,3,0.401
grenoble,B,tram,B : Gières => Grenoble,M réso,22,9.62,0.16,0.455,416312,216239,545380,265810,35515,5,105,30100,41160,15116,26185,40429,55626,18714,33793,51295,63268,21567,35200,59542,71914,23648,36438,76644,85538,27836,34756,100511,94584,34312,31827,199318,120216,361283,198937,23,15,4,0.8
grenoble,C,tram,C : Seyssins => Saint-Martin-d'Hères,M réso,19,8.69,0.72,0.316,416312,216239,545380,265810,35515,5,105,40138,26174,33590,20119,53482,33788,40846,22550,65699,39627,44397,24545,79664,48816,47991,25479,105945,58928,51546,24770,129685,72716,52262,25909,228139,116006,364975,199160,8,7,0,0.497
grenoble,D,tram,D : Saint-Matin-d'Hères => Grenoble,M réso,16,6.65,0.16,0.438,416312,216239,545380,265810,35515,5,105,31556,21790,17233,9128,43106,33829,22963,13843,56796,38872,28736,14979,67250,45341,32995,16512,86616,56088,40355,18811,109013,69240,45581,21055,201411,105668,341336,186302,19,12,1,0.784
grenoble,E,tram,E : Grenoble => Fontanil,M réso,17,11.0,0.41,0.294,416312,216239,545380,265810,35515,5,105,36783,10447,29710,6720,53576,16874,39808,10692,64443,26384,43712,15335,73139,38501,47262,22001,95494,59132,52575,30082,116820,74311,55256,34792,203439,123409,365844,194802,4,2,0,0.433
le-havre,A,tram,"Tram A : La Plage, Le Havre → Grand Hameau, Le Havre",LiA,15,7.91,0.13,0.4,217095,98312,293068,132214,26895,3,49,27596,23172,18802,12658,43119,29248,28615,15420,51354,32457,33143,16970,63265,34015,40148,17745,77208,43391,47022,22473,91919,47061,54162,23351,141872,62896,196222,85740,10,8,1,0.654
le-havre,B,tram,"Tram B : La Plage, Le Havre → Pré Fleuri, Le Havre",LiA,15,8.1,0.13,0.4,217095,98312,293068,132214,26895,3,49,31450,21747,22656,11233,47364,27388,32860,13559,57624,30134,39239,14647,68010,31454,43296,15131,84557,40007,47640,18803,101493,44498,52655,20146,149908,67396,211654,97510,10,8,1,0.611
le-havre,C,tram,"Tram C : Vallée Béreult, Le  Havre → Parc Jardin, Montivilliers",LiA,19,13.38,1.24,0.105,217095,98312,293068,132214,26895,3,49,28448,16173,25288,13292,37370,24515,32269,19166,47481,29030,39273,22336,55657,32405,44435,25041,72704,37505,50512,28055,84691,45852,52371,31513,146382,77419,222846,99190,4,2,1,0.225
le-havre,A+B,tram,"Tram A : La Plage, Le Havre → Grand Hameau, Le Havre et Tram B : La Plage, Le Havre → Pré Fleuri, Le Havre",LiA,22,12.01,0.13,0.273,217095,98312,293068,132214,26895,3,49,42749,25326,40379,23165,64026,31653,60200,27642,76318,34929,70118,29908,89853,36584,81037,31048,109124,46144,90797,38985,128518,50988,101508,40073,175659,75453,215696,97989,2,2,1,0.137
le-mans,T1,tram,Tram Setram T1 : Université → Antarès - Stade Marie Marvingt,SETRAM,24,10.63,0.33,0.375,216856,110858,310980,129135,17825,2,42,27944,24278,21988,18827,37169,31629,28537,24209,49270,39018,38219,28546,57960,45124,44290,32103,74214,49869,54575,35316,88415,53655,62321,38137,136360,71564,192643,103036,7,7,2,0.465
le-mans,T2,tram,Tram Setram T2 : Espal - Arche de la Nature → Bellevue - Hauts de Coulaines,SETRAM,18,7.78,0.18,0.444,216856,110858,310980,129135,17825,2,42,31098,19898,25142,14448,40543,23536,31911,16116,50529,26601,39479,16129,58293,31729,44623,18708,73047,36904,53408,22351,89368,42272,63275,26755,136519,57850,184984,97841,7,7,1,0.456
lille,1,metro,Métro Ligne 1 : Quatre Cantons – Stade Pierre Mauroy → CHU – Eurasanté,Ilévia,18,11.68,0.1,0.222,744895,411512,1310738,566252,54587,4,108,43207,46032,40491,38952,69145,58736,62707,47531,88441,81955,77405,63196,109418,96266,90293,67817,144374,118037,109354,73462,174464,144872,118047,79584,305663,193569,572344,327843,4,2,12,0.181
lille,R,tram,Tram R : Lille – Gare Lille Flandres → Roubaix – Eurotéléport,Ilévia,24,10.75,0.57,0.125,744895,411512,1310738,566252,54587,4,108,32487,35644,21727,21915,49254,53395,30994,31005,63194,64363,36753,36389,82917,79788,45584,39778,118659,105189,58329,45469,158562,124231,73702,47253,330871,211768,792127,378007,15,12,6,0.7
lille,2,metro,Métro Ligne 2 : Saint-Philibert → CH Dron,Ilévia,44,29.82,0.54,0.091,744895,411512,1310738,566252,54587,4,108,93105,79392,85895,68131,145260,104888,129224,83638,189970,124203,162100,93494,236034,150139,192386,104687,317039,195850,237973,126719,391162,231033,272928,132903,642850,326025,953638,451188,9,6,32,0.229
lille,T,tram,Tram T : Lille – Gare Lille Flandres → Tourcoing – Centre,Ilévia,22,11.36,0.58,0.136,744895,411512,1310738,566252,54587,4,108,27534,31223,17822,18050,42670,44425,26864,24362,55412,51449,34312,27331,68266,64661,40979,32708,101055,93539,55407,43955,135527,111813,70128,49649,320722,188276,779515,378625,13,10,3,0.703
lille,L5,bhns,L5 : Marcq – Ferme aux Oies → Haubourdin – Le Parc,Ilévia,45,16.56,0.38,0.244,744895,411512,1310738,566252,54587,4,108,65597,53376,57265,33124,92890,69042,75377,38856,114272,81524,87178,43623,136194,98321,96036,49830,175954,119822,108561,52092,202671,138802,111169,52853,339722,204421,661491,349111,12,6,6,0.399
lille,L92,bhns,L92 : Lille – Porte des Postes → Seclin – Centre Hospitalier,Ilévia,34,12.36,2.2,0.0,744895,411512,1310738,566252,54587,4,108,23361,18857,20891,15688,31432,21731,27454,17997,38357,24201,30803,19596,44873,28690,33159,21220,57966,33727,39513,23047,73156,38914,46868,24892,159508,92766,457494,236050,3,2,2,0.229
lille,L90,bhns,L90 : Comines – Mairie → Lille – Gare Lille Europe,Ilévia,35,18.14,0.55,0.086,744895,411512,1310738,566252,54587,4,108,22794,19064,21294,10519,31911,26572,28132,13336,38297,33166,32870,15882,49504,40095,40872,17510,71786,63769,55175,24282,95314,81266,67888,30825,212213,138007,526209,275352,7,2,3,0.26
lille,L8,bhns,L8 : Hem – Blanchisserie → Tourcoing – Risquons Tout,Ilévia,47,14.91,9.31,0.0,744895,411512,1310738,566252,54587,4,108,62780,17407,56165,11258,85548,27865,72463,15676,106751,32876,87067,18550,124219,43024,94450,23380,157757,52676,109244,26959,188027,60860,118190,30198,286993,89806,411444,164464,9,7,7,0.301
lille,L91,bhns,L91 : Lille – Gare Lille Europe → Halluin – Gounod,Ilévia,48,19.5,0.55,0.062,744895,411512,1310738,566252,54587,4,108,34649,22812,33149,14267,50883,31178,46552,18081,58947,32745,51487,17245,72403,47398,60113,22664,101180,66834,74065,27230,122547,85818,81684,32389,243627,152888,700836,343243,7,2,3,0.187
lille,L7,bhns,L7 : Lille – Porte des Postes → Faches-Thumesnil – Centre Commercial,Ilévia,18,6.06,2.2,0.0,744895,411512,1310738,566252,54587,4,108,21395,5973,19573,5409,26883,7801,24168,6706,34485,11138,29534,9469,40616,14312,31079,9803,56020,17816,37985,11330,77568,27449,48256,16140,159113,87635,439360,258695,2,1,1,0.157
lille,L2,bhns,L2 : Loos – Les Oliveaux → Wattignies – Centre Commercial,Ilévia,24,7.06,3.71,0.0,744895,411512,1310738,566252,54587,4,108,15935,9280,15643,6665,21436,11593,20318,8972,26217,12659,24186,9368,30571,14596,27950,11290,41370,20804,35816,14376,51873,22420,43886,14666,112765,36837,367611,216388,1,1,0,0.153
lille,L1,bhns,L1 : Wambrechies – Agrippin → Faches-Thumesnil – Centre Commercial,Ilévia,45,15.88,0.52,0.156,744895,411512,1310738,566252,54587,4,108,51970,29187,48787,22884,67724,44382,60148,31232,82331,53052,71807,36343,100149,62600,81918,39249,129167,88270,98007,47585,153809,114713,106516,53331,277828,168255,552202,317694,2,2,5,0.284
lille,L4,bhns,L4 : Halluin – Gounod → Leers – Centre Commercial,Ilévia,52,17.69,10.12,0.0,744895,411512,1310738,566252,54587,4,108,55954,24774,50893,19196,76407,34837,66601,24222,91815,40203,75347,26230,109143,44878,86331,27645,141666,50511,102113,30162,175682,57339,118500,33360,297117,93053,428064,153622,10,7,9,0.249
lille,L6,bhns,L6 : Fort de Mons → Villeneuve d'Ascq – Contrescarpe,Ilévia,15,6.05,4.08,0.0,744895,411512,1310738,566252,54587,4,108,16826,4782,13987,4014,20123,6836,16923,5586,26069,8690,21011,6802,33482,10705,25781,8637,45799,22065,31021,17416,56621,27375,34390,19765,109533,57310,466991,276375,2,2,1,0.322
lille,L99,bhns,L99 : Lomme – Saint-Philibert → Armentières – Le Bizet,Ilévia,28,12.71,6.37,0.0,744895,411512,1310738,566252,54587,4,108,20982,9039,20471,7766,26930,10289,26101,8904,31518,11600,30307,10214,35067,13101,33206,11658,40284,15974,37547,13884,45573,17732,41266,15262,71361,29814,211886,77296,1,1,3,0.083
lille,L3,bhns,L3 : Roubaix – Eurotéléport → Wattrelos – Quartier Beaulieu,Ilévia,16,4.51,10.31,0.0,744895,411512,1310738,566252,54587,4,108,19767,7762,18544,6577,26647,8884,23907,7011,33667,15377,29014,9853,38548,16268,31673,10154,51517,20134,38572,11728,64843,23141,44776,13436,129826,43752,332658,121047,2,1,1,0.169
lille,R+T,tram,Tram R : Lille – Gare Lille Flandres → Roubaix – Eurotéléport et Tram T : Lille – Gare Lille Flandres → Tourcoing – Centre,Ilévia,37,18.23,0.57,0.081,744895,411512,1310738,566252,54587,4,108,44777,46992,39260,38179,69411,70778,57162,52740,89806,84563,70033,60519,114683,103058,85068,67805,164602,135743,110097,81240,217586,158854,137443,86237,431269,249314,845534,395480,7,6,7,0.361
lyon,D,metro,Ligne D : Gare de Vaise ⇒ Gare de Vénissieux,TCL,15,12.32,0.79,0.267,1220716,653828,1680801,853348,52340,12,194,55751,36266,45023,26619,94234,59031,65849,38570,122216,72909,78439,45115,154304,96988,85530,53362,213796,141818,100694,62810,277160,190110,116168,71720,578739,335072,1045508,600162,7,6,2,0.553
lyon,C,metro,Ligne C : Hôtel de Ville - Louis Pradel ⇒ Cuire,TCL,5,2.24,0.46,0.6,1220716,653828,1680801,853348,52340,12,194,27252,12675,24627,9460,37884,21072,33085,16471,48150,23295,41033,17886,61940,30664,50870,22077,86027,39003,64666,25105,106175,60987,69870,29946,227889,177380,756827,422539,1,1,0,0.28
lyon,B,metro,Ligne B : Charpennes ⇒ Saint-Genis-Laval Hôpitaux Sud,TCL,12,9.64,1.06,0.167,1220716,653828,1680801,853348,52340,12,194,54038,52501,33701,28971,82037,77980,46430,40177,124364,106860,63421,48836,151295,137013,72494,57562,204074,166247,81122,56591,250114,195142,90676,54808,477700,309184,981383,522555,11,7,3,0.734
lyon,T3,tram,Tram T3 : Meyzieu - Zone Industrielle ⇒ Gare Part-Dieu - Villette,TCL,13,14.54,2.07,0.0,1220716,653828,1680801,853348,52340,12,194,32140,23724,22807,9114,51738,33420,34355,12905,75960,54590,44676,21765,104691,64503,59120,24353,158591,104501,75414,35453,216695,135914,85159,40869,473110,258467,902322,515289,10,7,1,0.653
lyon,T4,tram,Tram T4 : Hôpital Feyzin Vénissieux ⇒ La Doua Gaston Berger,TCL,32,15.08,2.05,0.0,1220716,653828,1680801,853348,52340,12,194,79823,59385,58121,35017,116587,78771,76683,41440,151896,98980,89194,46748,183242,113176,97441,48515,243178,139287,108188,48791,302855,163204,116832,47791,525347,297417,1046838,580588,20,15,2,0.633
lyon,A,metro,Ligne A : Perrache ⇒ Vaulx-en-Velin - La Soie,TCL,14,8.99,0.08,0.357,1220716,653828,1680801,853348,52340,12,194,76232,48297,61032,35870,105024,67653,75870,42148,138768,84658,87787,48674,163690,103940,89779,48697,222149,141708,94419,51779,273971,176489,93338,50015,521034,325554,1001207,526381,11,6,1,0.499
lyon,T1,tram,Tram T1 : Debourg ⇒ La Doua IUT - Feyssine,TCL,27,10.5,0.78,0.259,1220716,653828,1680801,853348,52340,12,194,67825,91234,36889,52087,100091,120232,46939,60258,125042,147627,52054,65962,155373,170394,56455,63200,210239,196977,62834,58408,256194,229213,66817,57727,484469,309935,1035131,534037,25,19,3,0.885
lyon,T2,tram,Tram T2 : Saint-Priest - Bel Air ⇒ Hôtel de Région - Montrochet,TCL,32,15.3,1.74,0.0,1220716,653828,1680801,853348,52340,12,194,71168,45453,51924,29741,99504,61040,68788,38240,123378,76569,77965,43010,150522,87862,88596,45822,194379,103675,93646,47787,242966,127011,101319,52710,465523,282478,1059293,598938,17,14,3,0.59
lyon,Rhônexpress,tram,Rhônexpress : Gare Part-Dieu - Villette -> Aéroport Lyon - Saint-Exupéry,Rhônexpress,4,19.44,2.09,0.0,1220716,653828,1680801,853348,52340,12,194,4971,18250,1538,8126,7886,29731,2737,11711,13706,38410,3765,12453,21552,44670,5523,14077,39431,72191,8859,19222,72805,93894,14638,23082,329823,209651,896895,507732,6,3,2,0.877
lyon,T5,tram,Tram T5 : Eurexpo ⇒ Grange Blanche,TCL,11,6.2,4.18,0.0,1220716,653828,1680801,853348,52340,12,194,13975,11090,8288,5252,21819,16381,12486,7372,31392,21673,16922,9000,38511,25226,19872,11605,55776,31045,26850,14170,73824,39590,30881,17990,214340,98955,787242,478019,9,7,0,0.782
lyon,T7,tram,Tram T7 : Décines - OL Vallée ⇒ Vaulx-en-Velin - La Soie,TCL,5,5.17,6.84,0.0,1220716,653828,1680801,853348,52340,12,194,4726,5765,2002,3042,10580,9866,4608,4206,13849,11608,6233,4998,18732,12723,8232,5630,30944,17958,14212,7031,39992,20278,18037,7364,110818,46813,444072,215389,6,4,0,0.958
lyon,T6,tram,Tram T6 : Debourg ⇒ La Doua - Gaston Berger,TCL,24,11.31,3.33,0.0,1220716,653828,1680801,853348,52340,12,194,75154,36761,61170,30043,111470,44725,84561,33156,139603,56726,93274,33210,166503,69133,99506,35406,217846,89966,100863,40949,267418,117268,98584,45227,479139,264119,1023984,562047,10,7,0,0.456
marseille,T1,tram,T1: Noailles -> Les Caillols,RTM,14,5.5,0.93,0.071,883170,346997,1196179,486324,45830,6,89,48926,12525,39094,8071,68157,18602,47966,10563,86469,30865,50030,14611,103074,38847,51642,16322,134283,61957,58566,22363,171687,80343,70328,26880,384701,163896,710361,293034,4,2,1,0.475
marseille,T1 (Lignes de l'Agglo),tram,Tram T1 : Colette Molina - Le Charrel -> Gare d'Aubagne,Lignes de l'Agglo,7,2.65,14.56,0.0,883170,346997,1196179,486324,45830,6,89,10548,3269,10548,3269,14280,4089,14280,4089,16778,4455,16778,4455,19749,6266,19749,6266,24471,7314,24471,7314,28761,8164,28761,8164,43276,13228,88758,46360,0,0,1,0.0
marseille,T2,tram,T2 : Blancarde -> Arenc Le Silo,RTM,15,4.94,0.39,0.533,883170,346997,1196179,486324,45830,6,89,62894,44447,32354,18617,84846,51226,38850,19165,108252,60144,40318,20349,124805,70151,43058,21685,157588,84532,47551,23256,191478,100511,55624,26804,350799,165074,699024,281350,18,12,2,0.868
marseille,T3,tram,T3 : Gèze => La Gaye,RTM,22,9.21,0.39,0.409,883170,346997,1196179,486324,45830,6,89,71474,64267,43340,33888,99888,82582,51460,40914,127112,94854,59210,44450,152148,116837,71079,53087,201606,133163,87547,55465,252499,147681,103278,58365,454967,219828,752455,299178,14,11,1,0.781
marseille,M1,metro,M1 : La Fourragère => La Rose,RTM,18,11.96,0.39,0.278,883170,346997,1196179,486324,45830,6,89,73097,49538,50914,32593,121354,75340,81263,48256,173413,93399,104398,52662,211760,104415,120422,55846,281620,127921,146686,62604,323350,146504,155234,64731,504605,217064,786489,314041,9,7,2,0.545
marseille,M2,metro,M2 : Gèze => Sainte-Marguerite Dromel,RTM,13,8.3,0.69,0.462,883170,346997,1196179,486324,45830,6,89,63057,46257,39415,25229,104122,71604,56155,32616,133652,85188,62581,36750,161239,105263,74339,43387,211048,123770,86397,45553,255740,138306,94717,48171,437181,211265,758656,298721,10,7,1,0.748
marseille,B1,bhns,Bus B1 : Campus de Luminy => Castellane,RTM,26,9.34,1.72,0.0,883170,346997,1196179,486324,45830,6,89,39747,23903,31004,16615,57408,36828,38764,23480,75738,44664,47360,27126,90488,48281,52090,23519,122959,59134,63633,26341,152803,73361,70239,30472,314683,148474,614193,253234,6,4,0,0.547
marseille,B2,bhns,B2 : Métro Gèze -> Vallon des Tuves,RTM,32,8.87,3.53,0.0,883170,346997,1196179,486324,45830,6,89,34225,14035,34088,13951,38739,15345,37709,15129,47422,18989,44459,17329,51410,24850,47989,22477,69296,29821,62921,26068,81190,33836,72139,27067,154282,54458,497436,204564,2,1,2,0.041
marseille,B3,bhns,Bus B3 : Technopôle de Château-Gombert -> Saint-Jérôme Parking Relais,RTM,15,4.92,5.12,0.0,883170,346997,1196179,486324,45830,6,89,17127,9334,15728,8598,27386,15573,22924,13736,32949,17105,26515,14652,40036,20482,32233,16941,56670,22987,43423,17696,71292,25074,52258,17786,144810,50717,546942,200009,3,3,0,0.313
metz,B,bhns,Mettis B : Hôpital Mercy → Université Saulcy,LE MET',22,9.72,0.39,0.364,235932,125083,420960,172398,32224,0,0,18678,24279,18678,24279,25209,37827,25209,37827,31076,42875,31076,42875,38677,47462,38677,47462,57152,61263,57152,61263,75817,66806,75817,66806,127346,85864,198683,107506,0,0,2,0.0
metz,A,bhns,Mettis A : Woippy Saint-Éloy → Borny,LE MET',30,12.28,0.39,0.367,235932,125083,420960,172398,32224,0,0,32770,37704,32770,37704,41151,51717,41151,51717,48843,59563,48843,59563,56673,64563,56673,64563,71239,71555,71239,71555,86929,76220,86929,76220,143174,92529,201024,111123,0,0,3,0.0
metz,A+B,bhns,Mettis B : Hôpital Mercy → Université Saulcy et Mettis A : Woippy Saint-Éloy → Borny,LE MET',41,17.22,0.39,0.293,235932,125083,420960,172398,32224,0,0,35739,44241,35739,44241,44050,60296,44050,60296,50810,67014,50810,67014,58544,72203,58544,72203,76113,78695,76113,78695,95246,83805,95246,83805,149836,97715,205489,111955,0,0,3,0.0
montpellier,4A,tram,Tram 4A: Garcia Lorca => Gare Saint-Roch => Albert 1er => Garcia Lorca,TaM,18,7.41,0.32,0.722,485486,252097,639075,286461,41178,6,149,44602,33812,15192,9691,59724,48229,18996,12696,78274,54941,22710,13790,90782,60816,25771,14913,109811,66963,28518,15527,127203,69781,30506,15357,197366,125018,364349,216179,37,18,1,0.995
montpellier,4B,tram,Tram 4B: Garcia Lorca => Albert 1er => Gare Saint-Roch => Garcia Lorca,TaM,18,7.46,0.32,0.722,485486,252097,639075,286461,41178,6,149,43657,34100,14688,9822,58799,48661,18353,12908,78274,54941,22710,13790,91293,60982,26345,15038,110304,67129,28775,15672,128312,70000,30998,15430,197388,125241,364716,216963,38,18,1,1.0
montpellier,2,tram,Tram 2: Jacou => Saint-Jean-de-Védas Centre,TaM,28,15.42,0.02,0.25,485486,252097,639075,286461,41178,6,149,54115,21228,43551,11853,71405,28828,54876,16590,91902,40306,65170,20636,105490,45147,72489,23422,132940,63039,80412,33371,159074,83274,85411,42064,256384,141150,406960,232339,13,5,1,0.339
montpellier,1,tram,Tram 1: Mosson → Gare Sud de France,TaM,31,14.56,0.02,0.355,485486,252097,639075,286461,41178,6,149,54897,63511,35075,41197,74602,75351,43535,41357,98842,84228,55895,43850,115234,90489,62977,45079,144312,103710,71906,49316,175272,112192,78951,51848,284234,168016,415573,226473,26,13,2,0.62
montpellier,3,tram,Tram 3: Juvignac => Lattes Centre,TaM,28,18.29,0.32,0.286,485486,252097,639075,286461,41178,6,149,57292,32658,42472,21185,79839,50466,55567,28814,102039,58484,66345,30779,118241,67787,73178,33916,148335,86220,82103,38203,178269,96113,91304,43176,290399,154685,414958,226345,18,7,1,0.45
montpellier,5,tram,Tram 5: Grés de Montpellier → Clapiers,TaM,26,11.92,0.48,0.308,485486,252097,639075,286461,41178,6,149,42408,28018,30931,15013,58868,40159,41160,19801,73254,45290,46725,20625,84322,48857,50904,21084,110483,60883,57249,24691,130179,67855,58594,25999,248525,117670,427984,220358,17,8,0,0.49
mulhouse,T14,tram,Tram-train T14 : Gare Centrale → Thann Saint-Jacques,TER Grand Est;Soléa,18,21.66,0.17,0.389,258989,104146,411562,153051,18023,4,55,21063,19374,10352,8974,29009,23624,14159,10720,40809,29218,19376,13564,48744,32244,23177,15026,65325,38822,30349,18417,81522,44609,37797,21121,142134,66596,238093,102309,19,11,12,0.802
mulhouse,1,tram,Tram 1 : Châtaigner → Gare Centrale,Soléa,12,4.7,0.22,0.5,258989,104146,411562,153051,18023,4,55,18792,12219,14653,6288,26526,16341,20654,7743,34403,18412,24185,8233,40553,21182,26960,9319,52883,24130,31015,9841,66366,29800,36578,13364,120596,43986,209043,89528,7,3,1,0.376
mulhouse,2,tram,Tram 2 : Nouveau Bassin → Coteaux,Soléa,14,5.7,0.17,0.571,258989,104146,411562,153051,18023,4,55,21587,13193,14686,6787,34874,16224,25248,8301,45161,19207,29345,9053,52927,21953,32646,10280,65266,29399,35717,14131,75418,37397,37769,17870,120275,57178,205519,90025,11,5,0,0.431
mulhouse,3,tram,Tram 3 : Lutterbach Gare → Gare Centrale,Soléa,11,6.27,0.17,0.636,258989,104146,411562,153051,18023,4,55,16659,15702,6045,5388,23128,20064,8278,7160,33031,23744,11597,8090,38739,26387,13459,9178,51498,30452,16865,10072,64129,34126,20408,10906,113362,51905,194082,86406,19,11,5,0.994
nancy,T1,bhns,Tempo 1 : Essey Mouzimpré → Vandœuvre Brabois - Hôpitaux,Stan,25,9.46,0.11,0.4,294829,145067,392978,170948,35926,0,0,38881,33077,38881,33077,52837,37008,52837,37008,66787,41679,66787,41679,76072,49730,76072,49730,95639,57246,95639,57246,110158,73498,110158,73498,179728,94417,270366,132247,0,0,2,0.0
nancy,T4,bhns,Tempo 4 : Laxou Champ le Boeuf → Houdemont Porte Sud,Stan,44,12.98,0.28,0.318,294829,145067,392978,170948,35926,0,0,47110,29818,47110,29818,63785,42437,63785,42437,73148,49240,73148,49240,87079,57103,87079,57103,107728,69781,107728,69781,122958,78901,122958,78901,186882,100991,256975,132262,0,0,4,0.0
nancy,T3,bhns,Tempo 3 : Villers Campus Sciences → Seichamps Haie Cerlin,Stan,55,15.91,0.56,0.273,294829,145067,392978,170948,35926,0,0,44442,31796,44442,31796,60239,36314,60239,36314,72814,42278,72814,42278,87507,50524,87507,50524,109261,70899,109261,70899,127511,75994,127511,75994,204008,102033,261585,127080,0,0,4,0.0
