ville,ligne,mode,nom,reseau,stations,longueur_km,dist_centre_km,part_centre,ville_hab_10k,ville_emp_10k,ville_hab_20k,ville_emp_20k,emplois_centre_1k,lignes_reseau,stations_reseau,hab_300,emp_300,hab_propre_300,emp_propre_300,hab_400,emp_400,hab_propre_400,emp_propre_400,hab_500,emp_500,hab_propre_500,emp_propre_500,hab_600,emp_600,hab_propre_600,emp_propre_600,hab_800,emp_800,hab_propre_800,emp_propre_800,hab_1000,emp_1000,hab_propre_1000,emp_propre_1000,hab_2k,emp_2k,hab_5k,emp_5k,correspondances,stations_correspondance,gares,part_partagee_400
rennes,C7,bhns,Bus STAR Ligne C7 Direction Bruz (Lavoisier),FR:STAR,28,12.73,2.71,0.0,368284,249499,573194,307186,36002,2,30,16470,8813,16293,8412,21536,12259,21248,11148,25039,13158,24430,11988,27736,13969,26723,12680,31816,17337,28644,14852,38175,18649,32008,15866,80195,42033,272638,162826,1,1,1,0.049
rouen,M,tram,"Métro : Boulingrin, Rouen → Technopôle, Saint-Étienne-du-Rouvray",Astuce,31,13.92,0.6,0.194,389512,189410,592225,251504,36792,1,31,60678,36399,60678,36399,86875,47738,86875,47738,105311,55687,105311,55687,125088,68076,125088,68076,149808,83587,149808,83587,169547,96893,169547,96893,217265,125173,347346,175358,0,0,1,0.0
saint-etienne,T3,tram,Ligne T3 : Terrasse > Bellevue,STAS,26,9.98,0.35,0.346,283531,123486,475284,183461,22304,3,62,37202,38116,19830,20942,49996,42974,25889,23669,61856,50698,30866,27518,75947,54692,36807,28970,95600,66724,43525,33524,115858,72233,50946,34418,173188,90933,228712,108273,20,19,7,0.905
saint-etienne,T1,tram,Ligne T1 : Hôpital Nord > Solaure,STAS,25,8.91,0.12,0.36,283531,123486,475284,183461,22304,3,62,48616,37130,27912,20311,62616,41310,34160,22021,75147,44590,39488,21244,88922,47921,44609,22396,102629,54321,48182,24435,112886,62221,49735,26928,170955,84622,230827,107157,22,20,6,0.875
saint-etienne,T2,tram,Ligne T2 : Cité du Design > Châteaucreux Gare,STAS,11,2.92,0.12,1.0,283531,123486,475284,183461,22304,3,62,23930,22788,11195,10321,34484,26016,16175,11762,37940,27053,16846,12017,47418,29800,20710,13042,58227,31451,23469,12423,70658,37249,26687,13731,118896,60437,215148,104492,14,11,3,1.0
strasbourg,A,tram,Tram A : Parc des Sports Zénith → Graffenstaden,Compagnie des Transports Strasbourgeois,27,13.45,0.12,0.222,486268,248227,644182,304204,59586,6,141,49823,52391,27999,22932,70591,65952,37925,26162,87616,76539,46198,29740,102265,87090,50518,31580,128803,107315,57008,34790,159095,117318,64816,36640,285017,169590,471213,237637,27,20,2,0.841
strasbourg,D,tram,Tram D : Poteries → Kehl Rathaus,Compagnie des Transports Strasbourgeois,24,11.71,0.12,0.292,486268,248227,644182,304204,59586,6,141,49966,49706,26448,22400,69657,61447,33974,24420,86014,69701,39389,26267,103014,80060,41796,27912,130560,96073,47536,28207,154351,104166,51629,28510,243057,142986,433118,211194,23,15,2,0.886
strasbourg,B,tram,Tram B : Hoenheim Gare → Lingolsheim Tiergaertel,Compagnie des Transports Strasbourgeois,27,13.24,0.14,0.333,486268,248227,644182,304204,59586,6,141,52771,40378,41939,19876,72543,58687,53353,25859,85868,63891,63435,26207,100370,73852,71970,29803,128537,89896,89143,34294,153841,100150,99742,36544,270009,152518,468757,238249,15,8,1,0.491
strasbourg,C,tram,Tram C : Gare Centrale → Neuhof Rodolphe Reuss,Compagnie des Transports Strasbourgeois,17,7.3,0.14,0.412,486268,248227,644182,304204,59586,6,141,43594,36109,24681,13044,61831,47476,32016,15112,76870,53989,37661,16444,95283,66740,42270,18665,125901,85342,50279,21650,145991,93504,51601,21915,210149,137165,425949,214855,26,12,1,0.771
strasbourg,E,tram,Tram E : Robertsau L'Escale → Campus d'Illkirch,Compagnie des Transports Strasbourgeois,26,12.72,0.74,0.231,486268,248227,644182,304204,59586,6,141,44827,31275,23517,15951,66549,46620,32886,20645,81859,55025,39806,23887,101514,68451,46236,28326,132003,88621,55929,33712,160487,106733,61471,35720,257282,155600,443085,229428,26,20,1,0.888
